=== AUDIT LOG INITIATED 2026-05-19T22:15:27.990Z ===
[1:15:28 AM] 🚀 BOT STARTING — Mode: DEMO | Strategy: BOTH5 | Base Stake: $0.35
[1:15:28 AM] 🎯 Active Market Locked: V50 (Opening Balance: $10000.00)
[1:15:28 AM] 🔄 Market shift: Locking onto signal on market V75
[1:15:28 AM] 📊 [TICK EVAL] V75 | Phase: NORMAL | Dominance Met: YES (73.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (50.0% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (50.0% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (50.0% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (50.0% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (52.1% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (52.1% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (52.1% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (52.1% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (52.1% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (52.1% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (52.1% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (52.1% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (52.1% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (54.2% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (54.2% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (54.2% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (54.2% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (54.2% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (54.2% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (54.2% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (54.2% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: NORMAL | Dominance Met: NO (54.2% vs 65%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 🔄 Market shift: Locking onto signal on market V50 (1s)
[1:15:34 AM] 📊 [TICK EVAL] V50 (1s) | Phase: CAUTION | Dominance Met: YES (70.8% vs 70%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:34 AM] ⚠️ Market V50 (1s) quarantine activated (3 consecutive losses). Score deducted by 5.
[1:15:34 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: DEFENSIVE | Stake Multiplier: 0.40x | session P&L: $3.36 | Mathematical Expectancy: $0.0646
[1:15:34 AM] 🔄 Market shift: Gravitating to highest meta-scored market V25 (1s)
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (52.1% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (52.1% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (54.2% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (56.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (56.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (56.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (56.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (56.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (58.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (58.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (3/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (4/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (4/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (4/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (5/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: NO (6/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (61.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (59.2% vs 75%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (58.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (58.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (58.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (58.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (58.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (58.3% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (60.4% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (60.4% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (60.4% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (60.4% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (62.5% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (62.5% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (62.5% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (62.5% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (62.5% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
[1:15:34 AM] 📊 [TICK EVAL] V25 (1s) | Phase: DEFENSIVE | Dominance Met: NO (62.5% vs 75%, side: UNDER) | D5 Passed: YES (4.0%) | Exhaustion: NO | Streak Filter: YES (2/6) | Verdict: ⏳ SKIP
